,Probability of Belonging to Class 1 (Nebraska)
0,6.628517e-06
1,0.00014947551
2,0.0078929365
3,3.9924216e-05
4,0.0014237665
5,0.0038082444
6,1.8566542e-08
7,0.001302062
8,5.8337366e-09
9,0.99990076
10,2.905843e-10
11,2.0245803e-05
12,1.3091853e-12
13,6.512191e-07
14,1.4680643e-07
15,0.03046469
16,4.8303895e-07
17,3.034595e-13
18,0.34889856
19,0.21140508
20,0.009869086
21,0.316895
22,0.9961663
23,2.7201773e-05
24,1.0805197e-05
25,8.019747e-08
26,7.1147235e-07
27,6.4489023e-09
28,8.836315e-05
29,0.0010795544
30,9.788199e-15
31,1.8616513e-11
32,1.1799856e-08
33,0.999395
34,7.173682e-05
35,0.99998087
36,0.9999901
37,7.827709e-05
38,5.5379394e-05
39,0.0010476919
40,0.020100081
41,0.0016921746
42,6.1333956e-09
43,4.367182e-10
44,5.1524305e-05
45,1.9040954e-05
46,0.04086808
47,3.1798542e-08
48,2.2083509e-11
49,2.28088e-09
50,3.0421447e-06
51,0.4794028
52,3.182019e-16
53,0.0001829335
54,0.07519535
55,0.9751155
56,0.47089398
57,0.9999996
58,0.02646511
59,0.002553075
60,3.195092e-06
61,0.03007261
62,9.35351e-08
63,0.039699413
64,0.004086298
65,9.572138e-10
66,1.139979e-08
67,6.915828e-12
68,0.00031893622
69,1.0589772e-13
70,1.3502457e-05
71,6.3628436e-11
72,0.0014862297
73,0.0009907391
74,0.44603217
75,2.6035266e-08
76,3.8071876e-12
77,0.011634577
78,0.9999978
79,0.0038021132
80,0.999993
81,0.5972395
82,7.0628785e-12
83,3.9442855e-13
84,0.00013517709
85,0.00035742015
86,0.9902803
87,0.99992204
88,6.5371e-10
89,4.095288e-05
90,3.7275168e-08
91,4.7998454e-09
92,0.004347195
93,0.00031345984
94,8.409771e-08
95,5.390797e-05
96,7.558624e-09
97,1.8254106e-05
98,0.076106384
99,1.1953568e-05
100,0.9999935
101,1.4514943e-10
102,1.3058311e-08
103,0.92269194
104,3.3065153e-10
105,0.7354676
106,0.0035990241
107,0.99283516
108,1.2866845e-09
109,4.833819e-17
110,4.0925915e-10
111,1.00969416e-07
112,3.143338e-10
113,4.477807e-05
114,3.3241223e-16
115,0.112318076
116,0.00022940038
117,0.8805619
118,7.717061e-16
119,0.00084982277
120,7.6940324e-08
121,1.862297e-06
122,1.7507014e-05
123,0.9999321
124,0.057406366
125,0.99996483
126,0.9928915
127,0.9999254
128,0.99821323
129,8.799604e-09
130,6.8426464e-10
131,0.81515026
132,1.0584861e-06
133,5.108035e-09
134,9.1248374e-08
135,0.00013454146
136,0.16062891
137,0.0016849611
138,0.99999654
139,0.002234086
140,4.9813152e-05
141,1.4279511e-05
142,0.00020489357
143,5.093529e-09
144,1.908898e-08
145,5.788104e-10
146,0.07538388
147,0.99992305
148,0.3111638
149,2.3180964e-06
150,0.77916366
151,0.99212676
152,3.1534894e-06
153,2.3505729e-07
154,0.0014600981
155,8.886132e-08
156,6.91159e-05
157,0.002930745
158,4.7644758e-07
159,1.901329e-06
160,1.3331068e-05
161,1.3439125e-06
162,8.85172e-09
163,5.9944575e-17
164,5.7232746e-15
165,9.435288e-05
166,7.9045054e-14
167,1.6907471e-09
168,4.9865075e-06
169,0.0003240807
170,0.22381069
171,0.99989617
172,0.0009817868
173,3.1586413e-05
174,0.27907637
175,5.7579688e-09
176,9.068034e-08
177,7.533018e-13
178,0.022546291
179,7.854444e-06
180,0.9878556
181,0.46585193
182,0.017578736
183,0.9747146
184,0.00032215813
185,4.247898e-07
186,0.003933266
187,3.7398986e-05
188,1.4475623e-06
189,0.004442587
190,0.00010361247
191,0.00018125886
192,0.32422176
193,0.83085066
194,0.063521095
195,0.0004858
196,0.64948475
197,0.012433203
198,0.98976564
199,0.002013336
200,0.7129697
201,8.252323e-06
202,1.1898478e-07
203,8.391753e-10
204,3.875542e-05
205,3.4587825e-16
206,0.02028357
207,0.00010289106
208,1.8173748e-15
209,2.1644107e-07
210,1.07572134e-13
211,2.1213992e-10
212,2.778387e-06
213,0.0012154267
214,0.00014428655
215,8.9911784e-10
216,3.1496747e-05
217,2.6343694e-05
218,0.9988321
219,0.00019702829
220,0.99999803
221,0.00082123396
222,1.2021416e-05
223,1.7917995e-06
224,0.109431975
225,0.0010023047
226,6.778552e-07
227,0.032480426
228,0.17241071
229,1.1281243e-14
230,7.85488e-10
231,3.198944e-05
232,4.1829957e-09
233,0.00013939502
234,2.182701e-08
235,9.389858e-14
236,1.3848442e-06
237,0.2982469
238,0.88875765
239,0.05168572
240,0.13999857
241,0.0007576784
242,0.17825876
243,0.9998504
244,0.99864477
245,0.9232304
246,0.003877107
247,7.7868434e-10
248,2.5436406e-10
249,2.9403049e-07
250,1.2408901e-13
251,0.002618878
252,1.3160422e-09
253,4.443322e-10
254,5.927432e-14
255,1.6290632e-14
256,8.177997e-06
257,0.99798787
258,0.99998784
259,0.8506284
260,0.0004990695
261,8.487636e-08
262,0.6309512
263,3.3044893e-07
264,0.9607043
265,2.2912689e-05
266,0.0001533783
267,0.99999344
268,2.1043743e-06
269,4.1596875e-11
270,9.366852e-05
271,0.061683122
272,0.00044951978
273,1.7265791e-16
274,3.2210548e-05
275,7.5963208e-06
276,9.259977e-05
277,0.092452906
278,0.0014281913
279,0.39161217
280,7.807537e-06
281,3.166244e-05
282,0.38126656
283,0.00041751153
284,4.5125125e-06
285,2.9262256e-07
286,0.16089731
287,0.93750274
288,0.99999267
289,0.101195164
290,0.99999183
291,1.1716322e-05
292,0.00085529045
293,0.0028498445
294,0.7281656
295,0.3664044
296,0.99999774
297,0.999934
298,0.9945376
299,0.09967228
300,0.0019462096
301,0.00025588955
302,0.00024911683
303,0.0001609319
304,6.9617786e-06
305,0.0039817765
306,1.7794999e-07
307,0.24785075
308,4.0558745e-05
309,2.9611697e-06
310,0.00010309003
311,8.3278073e-19
312,0.010502517
313,3.762083e-10
314,1.9626027e-06
315,0.0013899867
316,0.017767778
317,7.3679395e-05
318,0.57216567
319,0.047164824
320,0.0023593444
321,0.8087932
322,0.87158865
323,0.00025577613
324,2.2520042e-06
325,0.0054899123
326,0.0012530236
327,7.908375e-08
328,2.5588701e-11
329,2.0303925e-07
330,0.00011377956
331,0.0036762361
332,1.1975252e-09
333,1.1552319e-10
334,5.4874926e-07
335,1.132103e-07
336,0.38635474
337,0.9999813
338,0.9999992
339,0.40091473
340,0.000117487085
341,0.9985024
342,0.9997477
343,2.6889997e-09
344,2.139893e-18
345,2.604463e-10
346,2.3135613e-07
347,0.00011918201
348,5.4539484e-09
349,7.539574e-09
350,1.5382501e-14
351,0.0011670621
352,0.00021578434
353,9.129512e-10
354,7.377741e-13
355,1.3446742e-12
356,5.251533e-06
357,3.3321077e-05
358,2.955484e-05
359,6.281966e-06
360,0.002409979
