,Probability of Belonging to Class 1 (Nebraska)
0,0.9999824
1,0.99999934
2,0.99999994
3,0.999998
4,1.0
5,0.9999993
6,0.46759647
7,0.99999785
8,0.9999995
9,0.99974686
10,0.99998266
11,0.0010546166
12,0.9999595
13,0.99999934
14,0.99999976
15,0.9797673
16,0.9999646
17,0.99996877
18,0.99994373
19,2.5733852e-05
20,0.9997605
21,0.99999887
22,0.99999994
23,1.0
24,1.0
25,1.0
26,0.9999997
27,0.9999996
28,0.99949676
29,0.99207556
30,0.9998434
31,0.9999999
32,0.9999998
33,0.99999994
34,0.99999976
35,0.99999976
36,0.99998593
37,1.0
38,0.88509256
39,0.9999862
40,0.9999992
41,0.9999436
42,0.9999546
43,0.9999999
44,1.0
45,0.9999633
46,0.9857332
47,0.9999999
48,0.99999994
49,0.99999964
50,0.9999941
51,0.9999908
52,1.0
53,0.99999946
54,0.9999999
55,0.99999994
56,0.99999714
57,0.9998867
58,0.9999939
59,0.15166175
60,0.99999785
61,0.99906915
62,0.999793
63,0.037313167
64,0.69460905
65,0.9999976
66,0.99999964
67,0.99999976
68,1.0
69,0.9999796
70,0.9999795
71,0.99999976
72,0.99999905
73,0.9999929
74,0.9999981
75,0.999999
76,0.9999999
77,0.9999999
78,0.999988
79,0.52968556
80,0.99898696
81,0.99999887
82,0.9999997
83,0.99999994
84,0.99999875
85,0.9999993
86,0.83320534
87,0.99999994
88,1.0
89,0.99999964
90,0.069094524
91,0.99999994
92,1.0
93,0.9999447
94,0.99999994
95,0.99999994
96,0.99979234
97,0.41745996
98,0.9998323
99,0.9999869
100,0.39282462
101,0.99999857
102,0.9999995
103,0.9999978
104,0.9999995
105,0.9805541
106,0.99999756
107,0.99997246
108,0.9999998
109,0.9999993
110,0.9999996
111,0.9999998
112,0.9998565
113,0.99998236
114,0.9999998
115,0.9999999
116,0.9999998
117,0.99999994
118,1.0
119,0.002554583
120,0.9999808
121,0.9999809
122,0.99999976
123,0.999997
124,1.0
125,0.9999998
126,0.99999994
127,0.99999845
128,0.2928074
129,0.9999999
130,0.35497487
131,1.0
132,1.0
133,0.99999946
134,0.9999995
135,0.36041552
136,0.9998949
137,0.9997204
138,0.9999997
139,0.99999875
140,0.7287635
141,0.018198181
142,0.9999965
143,0.99998945
144,0.9974111
145,0.9999693
146,0.99999964
147,0.99999964
148,0.99999577
149,0.9991098
150,0.99999994
151,0.99999976
152,0.999958
153,0.9999997
154,0.99999946
155,0.99999994
156,0.99998736
157,0.99999875
158,0.9999991
159,0.9999967
160,0.99979174
161,0.9998375
162,0.85673624
163,0.99998695
164,0.9999128
165,0.9999437
166,0.99946856
167,0.9999966
168,0.9994133
169,0.99962354
170,0.9982764
171,0.9999996
172,0.9999999
173,0.3370831
174,0.9999999
175,0.980864
176,0.9999999
177,0.9993788
178,0.99715036
179,0.003915897
180,0.9999996
181,0.9999953
182,0.99999976
183,0.9999808
184,0.99999976
185,0.03504236
186,3.363314e-07
187,0.8031424
188,0.9999999
189,0.99999976
190,0.999997
191,0.31856772
192,0.9949945
193,0.051353082
194,0.9202033
195,0.9993834
196,0.9997726
197,0.99985343
198,0.99999994
199,0.023963008
200,0.9999958
201,0.999996
202,0.002834238
203,0.9999999
204,0.9999993
205,0.9999951
206,0.99999946
207,0.9759343
208,0.9999996
209,0.9999979
210,0.9999988
211,0.08978408
212,0.9999955
213,0.9999994
214,0.9999993
215,0.99999905
216,0.98242474
217,0.99999994
218,0.9999998
219,2.0264772e-05
220,0.999996
221,0.9999918
222,0.9998874
223,0.040342253
224,0.9999999
225,0.99999654
226,0.99999946
227,0.45313913
228,0.9999105
229,0.99999756
230,0.9999994
231,0.9999958
232,0.9874633
233,0.99842817
234,0.07734992
235,0.99904937
236,0.99999976
237,0.99999994
238,0.9999982
239,0.99999857
240,0.9999789
241,0.99161476
242,0.96619755
243,0.99989164
244,0.99998343
245,0.99999994
246,0.99996996
247,0.9999907
248,0.9999986
249,0.99999976
250,0.99999946
251,0.9987895
252,0.98441267
253,0.0024672449
254,0.999987
255,0.99999976
256,0.9999998
257,1.0
258,0.99999994
259,0.99996984
260,0.99999994
261,0.97722715
262,0.99999636
263,0.9999913
264,0.99999994
265,0.9999997
266,0.9998667
267,0.9999996
268,0.024615377
269,0.9999992
270,0.99752975
271,1.0
272,0.9999992
273,0.99999994
274,0.99999994
275,1.0
276,0.9999999
277,0.9999997
278,0.99999976
